Ticker,close,date,high,low,month,open,volume
TITAN,3674.95,2024-10-03 05:30:00,3782.00,3650.05,2024-10,3689.10,1597560
TITAN,3670.10,2024-10-04 05:30:00,3753.80,3625.00,2024-10,3625.00,1542987
TITAN,3589.25,2024-10-07 05:30:00,3748.00,3552.30,2024-10,3739.95,2523321
TITAN,3493.35,2024-10-08 05:30:00,3595.00,3480.00,2024-10,3589.25,1360120
TITAN,3493.45,2024-10-09 05:30:00,3558.80,3486.60,2024-10,3518.00,1063802
TITAN,3447.25,2024-10-10 05:30:00,3531.55,3415.10,2024-10,3510.00,1488328
TITAN,3474.40,2024-10-11 05:30:00,3491.00,3444.30,2024-10,3464.00,858463
TITAN,3497.80,2024-10-14 05:30:00,3525.00,3452.55,2024-10,3474.40,593206
TITAN,3508.50,2024-10-15 05:30:00,3529.45,3477.00,2024-10,3523.95,578719
TITAN,3471.00,2024-10-16 05:30:00,3510.00,3440.00,2024-10,3508.00,591644
TITAN,3403.35,2024-10-17 05:30:00,3487.00,3380.10,2024-10,3487.00,560796
TITAN,3381.45,2024-10-18 05:30:00,3422.35,3296.10,2024-10,3395.00,1249585
TITAN,3363.25,2024-10-21 05:30:00,3419.85,3335.50,2024-10,3417.95,714746
TITAN,3329.80,2024-10-22 05:30:00,3421.50,3319.25,2024-10,3374.90,882086
TITAN,3288.60,2024-10-23 05:30:00,3335.00,3282.50,2024-10,3330.00,877837
TITAN,3330.90,2024-10-24 05:30:00,3342.90,3279.20,2024-10,3301.05,764369
TITAN,3266.55,2024-10-25 05:30:00,3342.35,3232.35,2024-10,3332.00,805013
TITAN,3283.05,2024-10-28 05:30:00,3315.00,3254.05,2024-10,3270.00,736462
TITAN,3283.40,2024-10-29 05:30:00,3298.00,3227.00,2024-10,3285.80,702769
TITAN,3308.45,2024-10-30 05:30:00,3321.80,3235.10,2024-10,3261.00,895278
TITAN,3267.05,2024-10-31 05:30:00,3299.90,3253.60,2024-10,3291.00,1170306
TITAN,3293.70,2024-11-01 05:30:00,3317.60,3282.35,2024-11,3304.00,176636
TITAN,3222.00,2024-11-04 05:30:00,3318.00,3190.10,2024-11,3318.00,1122152
TITAN,3230.25,2024-11-05 05:30:00,3258.90,3185.00,2024-11,3206.00,872402
TITAN,3177.05,2024-11-06 05:30:00,3208.95,3114.00,2024-11,3145.00,4522923
TITAN,3120.85,2024-11-07 05:30:00,3186.05,3108.10,2024-11,3180.00,1608603
TITAN,3186.25,2024-11-08 05:30:00,3192.90,3106.00,2024-11,3121.00,1719882
TITAN,3206.60,2024-11-11 05:30:00,3230.05,3158.25,2024-11,3191.60,1054929
TITAN,3198.45,2024-11-12 05:30:00,3239.00,3185.00,2024-11,3201.65,992983
TITAN,3187.85,2024-11-13 05:30:00,3221.60,3162.20,2024-11,3175.00,911537
TITAN,3183.70,2024-11-14 05:30:00,3195.15,3136.00,2024-11,3145.05,1161637
TITAN,3172.30,2024-11-18 05:30:00,3207.20,3157.50,2024-11,3183.70,943251
TITAN,3224.70,2024-11-19 05:30:00,3283.00,3172.30,2024-11,3192.00,1174506
TITAN,3178.45,2024-11-21 05:30:00,3233.95,3148.35,2024-11,3225.00,1582159
TITAN,3308.70,2024-11-22 05:30:00,3317.00,3152.15,2024-11,3174.85,2207527
